"","SYMBOL","DATE","TIME","PRICE","SIZE","G127","CORR","COND","EX"
"3","AA",20070504,"9:30:12",35.15,500,0,0,"E","N"
"4","AA",20070504,"9:30:12",35.15,1100,0,0,"E","N"
"9","AA",20070504,"9:30:13",35.1,100,0,0,"E","P"
"10","AA",20070504,"9:30:13",35.14,100,0,0,"E","N"
"11","AA",20070504,"9:30:13",35.15,400,0,0,"E","N"
"12","AA",20070504,"9:30:13",35.1,100,0,0,"E","N"
"13","AA",20070504,"9:30:14",35.07,100,0,0,"E","P"
"14","AA",20070504,"9:30:14",35.06,300,0,0,"E","N"
"15","AA",20070504,"9:30:14",35.06,100,0,0,"E","N"
"16","AA",20070504,"9:30:15",35.07,100,0,0,"E","P"
"17","AA",20070504,"9:30:15",35.08,100,0,0,"E","N"
"18","AA",20070504,"9:30:15",35.09,300,0,0,"E","N"
"19","AA",20070504,"9:30:15",35.1,100,0,0,"E","N"
"20","AA",20070504,"9:30:16",35.1,100,0,0,"E","N"
"21","AA",20070504,"9:30:16",35.1,200,0,0,"E","N"
"22","AA",20070504,"9:30:16",35.1,200,0,0,"E","N"
"23","AA",20070504,"9:30:16",35.09,100,0,0,"E","N"
"28","AA",20070504,"9:30:16",35.09,200,0,0,"E","N"
"29","AA",20070504,"9:30:16",35.09,100,0,0,"E","N"
"30","AA",20070504,"9:30:17",35.09,300,0,0,"E","N"
"31","AA",20070504,"9:30:17",35.09,100,0,0,"E","N"
"32","AA",20070504,"9:30:17",35.09,100,0,0,"E","N"
"33","AA",20070504,"9:30:17",35.09,200,0,0,"E","N"
"34","AA",20070504,"9:30:17",35.09,100,0,0,"E","N"
"35","AA",20070504,"9:30:17",35.09,100,0,0,"E","N"
"36","AA",20070504,"9:30:17",35.08,100,0,0,"E","P"
"37","AA",20070504,"9:30:17",35.09,100,0,0,"E","N"
"38","AA",20070504,"9:30:18",35.08,100,0,0,"F","N"
"39","AA",20070504,"9:30:19",35.12,300,0,0,"E","N"
"41","AA",20070504,"9:30:19",35.12,100,0,0,"E","N"
"42","AA",20070504,"9:30:20",35.13,200,0,0,"E","N"
"44","AA",20070504,"9:30:22",35.14,300,0,0,"E","N"
"45","AA",20070504,"9:30:22",35.14,100,0,0,"E","P"
"46","AA",20070504,"9:30:22",35.14,100,0,0,"E","P"
"47","AA",20070504,"9:30:22",35.14,100,0,0,"E","P"
"48","AA",20070504,"9:30:23",35.14,100,0,0,"E","P"
"53","AA",20070504,"9:30:23",35.14,100,0,0,"F","N"
"55","AA",20070504,"9:30:23",35.13,100,0,0,"E","N"
"56","AA",20070504,"9:30:23",35.12,100,0,0,"E","N"
"57","AA",20070504,"9:30:24",35.1,100,0,0,"E","N"
"58","AA",20070504,"9:30:24",35.09,200,0,0,"E","N"
"62","AA",20070504,"9:30:24",35.09,100,0,0,"E","N"
"63","AA",20070504,"9:30:24",35.09,200,0,0,"E","N"
"66","AA",20070504,"9:30:24",35.08,100,0,0,"E","N"
"67","AA",20070504,"9:30:25",35.08,100,0,0,"E","N"
"68","AA",20070504,"9:30:25",35.07,900,0,0,"E","N"
"69","AA",20070504,"9:30:26",35.08,400,0,0,"E","N"
"73","AA",20070504,"9:30:32",35.07,600,0,0,"E","N"
"74","AA",20070504,"9:30:34",35.09,200,0,0,"E","N"
"77","AA",20070504,"9:30:34",35.09,100,0,0,"E","P"
