"","SYMBOL","DATE","TIME","PRICE","SIZE","G127","CORR","COND","EX"
"9","AA",20070504,"9:30:13",35.1,100,0,0,"E","P"
"13","AA",20070504,"9:30:14",35.07,100,0,0,"E","P"
"16","AA",20070504,"9:30:15",35.07,100,0,0,"E","P"
"36","AA",20070504,"9:30:17",35.08,100,0,0,"E","P"
"45","AA",20070504,"9:30:22",35.14,100,0,0,"E","P"
"46","AA",20070504,"9:30:22",35.14,100,0,0,"E","P"
"47","AA",20070504,"9:30:22",35.14,100,0,0,"E","P"
"48","AA",20070504,"9:30:23",35.14,100,0,0,"E","P"
"77","AA",20070504,"9:30:34",35.09,100,0,0,"E","P"
"116","AA",20070504,"9:31:01",35.11,100,0,0,"E","P"
"125","AA",20070504,"9:31:03",35.12,100,0,0,"E","P"
"126","AA",20070504,"9:31:03",35.12,100,0,0,"E","P"
"134","AA",20070504,"9:31:11",35.13,100,0,0,"E","P"
"139","AA",20070504,"9:31:12",35.12,100,0,0,"E","P"
"140","AA",20070504,"9:31:12",35.12,100,0,0,"E","P"
"149","AA",20070504,"9:31:13",35.12,100,0,0,"E","P"
"150","AA",20070504,"9:31:13",35.12,100,0,0,"E","P"
"167","AA",20070504,"9:31:24",35.13,100,0,0,"E","P"
"168","AA",20070504,"9:31:24",35.13,100,0,0,"E","P"
"169","AA",20070504,"9:31:24",35.13,100,0,0,"E","P"
"191","AA",20070504,"9:31:33",35.13,100,0,0,"E","P"
"192","AA",20070504,"9:31:33",35.13,100,0,0,"E","P"
"197","AA",20070504,"9:31:34",35.13,100,0,0,"E","P"
"198","AA",20070504,"9:31:34",35.13,100,0,0,"E","P"
"205","AA",20070504,"9:31:46",35.09,100,0,0,"E","P"
"206","AA",20070504,"9:31:46",35.09,100,0,0,"E","P"
"230","AA",20070504,"9:32:11",35.14,100,0,0,"F","P"
"233","AA",20070504,"9:32:14",35.14,100,0,0,"E","P"
"234","AA",20070504,"9:32:14",35.14,100,0,0,"E","P"
"235","AA",20070504,"9:32:14",35.14,100,0,0,"E","P"
"291","AA",20070504,"9:33:10",35.1,100,0,0,"E","P"
"292","AA",20070504,"9:33:10",35.1,100,0,0,"E","P"
"293","AA",20070504,"9:33:10",35.1,100,0,0,"E","P"
"306","AA",20070504,"9:33:14",35.14,100,0,0,"E","P"
"307","AA",20070504,"9:33:14",35.14,100,0,0,"E","P"
"308","AA",20070504,"9:33:14",35.12,100,0,0,"E","P"
"309","AA",20070504,"9:33:14",35.12,100,0,0,"E","P"
"321","AA",20070504,"9:33:15",35.12,100,0,0,"E","P"
"328","AA",20070504,"9:33:16",35.11,100,0,0,"E","P"
"329","AA",20070504,"9:33:16",35.11,100,0,0,"E","P"
"333","AA",20070504,"9:33:17",35.11,100,0,0,"E","P"
"339","AA",20070504,"9:33:19",35.12,100,0,0,"E","P"
"344","AA",20070504,"9:33:21",35.11,100,0,0,"E","P"
"348","AA",20070504,"9:33:22",35.13,100,0,0,"E","P"
"359","AA",20070504,"9:33:25",35.11,100,0,0,"E","P"
"365","AA",20070504,"9:33:30",35.12,100,0,0,"E","P"
"369","AA",20070504,"9:33:30",35.13,100,0,0,"E","P"
"380","AA",20070504,"9:33:33",35.12,100,0,0,"E","P"
"385","AA",20070504,"9:33:34",35.11,100,0,0,"E","P"
"395","AA",20070504,"9:33:43",35.11,100,0,0,"E","P"
"399","AA",20070504,"9:33:45",35.11,100,0,0,"E","P"
"436","AA",20070504,"9:34:04",35.06,100,0,0,"E","P"
"437","AA",20070504,"9:34:05",35.05,100,0,0,"E","P"
"467","AA",20070504,"9:34:10",35.07,100,0,0,"F","P"
"468","AA",20070504,"9:34:10",35.07,100,0,0,"F","P"
