"","x"
"T+1",0.00112691559873799
"T+2",0.00103820425287129
"T+3",0.000990910008385915
"T+4",0.000911631998386317
"T+5",0.000917401942693074
"T+6",0.000861268358655422
"T+7",0.000793348753627961
"T+8",0.000731797394105877
"T+9",0.000704511598864811
"T+10",0.000785961404560876
"T+11",0.000736862953807152
"T+12",0.000914089830588035
"T+13",0.000843927036036782
"T+14",0.00089570386766034
"T+15",0.000879127797441428
"T+16",0.000839277803393452
"T+17",0.000828138632804646
"T+18",0.00086980260323443
"T+19",0.000854881354987673
"T+20",0.000831671068175792
"T+21",0.000961255642315723
"T+22",0.000879873565925875
"T+23",0.000832859090722253
"T+24",0.000800246180975903
"T+25",0.00102333418280096
"T+26",0.000933674660128969
"T+27",0.00171885224310062
"T+28",0.00175815494652944
"T+29",0.00175930268187275
"T+30",0.0015819981561757
"T+31",0.00145099265092084
"T+32",0.00130905291537792
"T+33",0.00152837207588443
"T+34",0.00137624796450596
"T+35",0.00156018724585472
"T+36",0.00143002776151804
"T+37",0.00129615884491701
"T+38",0.00121614395258771
"T+39",0.00110391502454053
"T+40",0.00122655646302746
"T+41",0.00111610493644391
"T+42",0.00102943725444758
"T+43",0.0010794971415668
"T+44",0.00125643127979018
"T+45",0.00113891109821266
"T+46",0.00122682226090178
"T+47",0.00111370935321895
"T+48",0.00108749241520175
"T+49",0.000991076236844555
"T+50",0.000951121155602019
"T+51",0.00087376508680716
"T+52",0.00101802820059322
"T+53",0.000929905925401977
"T+54",0.000855137803494187
"T+55",0.000795385560762442
"T+56",0.00076643343954769
"T+57",0.000785046905201751
"T+58",0.000732961239863773
"T+59",0.000955531543586832
"T+60",0.000939525530446997
"T+61",0.000906477450674418
"T+62",0.000832027060295268
"T+63",0.000836506975778071
"T+64",0.000777449802477111
"T+65",0.000721735258828005
"T+66",0.000675028254768998
"T+67",0.000626801854451721
"T+68",0.000828936990058365
"T+69",0.000762957575879644
"T+70",0.000707906791974001
"T+71",0.000824194327581812
"T+72",0.000888238592091784
"T+73",0.000992668404913792
"T+74",0.000958136147310625
"T+75",0.000896276255587752
"T+76",0.000836276045880853
"T+77",0.000918621634809791
"T+78",0.000905334704129343
"T+79",0.00101295965415825
"T+80",0.000925443137215399
"T+81",0.000896588785001537
"T+82",0.000829640596426595
"T+83",0.000923642231347505
"T+84",0.000987435656749641
"T+85",0.000906236981337302
"T+86",0.00120799518972314
"T+87",0.00109460946689155
"T+88",0.000997563234164853
"T+89",0.000942263624344343
"T+90",0.000875237737838104
"T+91",0.00080815950875217
"T+92",0.000747690358945937
"T+93",0.00072784422988843
"T+94",0.000677509568699712
"T+95",0.000632978616158278
"T+96",0.00061859581677234
"T+97",0.000633247960704089
"T+98",0.000602562782607712
"T+99",0.000696804595887424
"T+100",0.000648909565618791
"T+101",0.000853939467430148
"T+102",0.000825116357079178
"T+103",0.000921653684552082
"T+104",0.000938191450114154
"T+105",0.000868520987242202
"T+106",0.000798025042575888
"T+107",0.000753155134663489
"T+108",0.000847750531447666
"T+109",0.00080021168197962
"T+110",0.000750508124534826
"T+111",0.00105638380276947
"T+112",0.000961443881531305
"T+113",0.00100456468659612
"T+114",0.000948586068282455
"T+115",0.000926872832034238
"T+116",0.000875903254910858
"T+117",0.000823492205718133
"T+118",0.000839325588247753
"T+119",0.000787682701201424
"T+120",0.000726878636734817
"T+121",0.000778795792731611
"T+122",0.000852772748998777
"T+123",0.000925032644986151
"T+124",0.000855090320562739
"T+125",0.0011786568347889
"T+126",0.00106966406494389
"T+127",0.000997379820685715
"T+128",0.00107327134209129
"T+129",0.0011020890354099
"T+130",0.00100908503228657
"T+131",0.00094913559737332
"T+132",0.000872596562269326
"T+133",0.000821784557217762
"T+134",0.000795459906993792
"T+135",0.00103188551552645
"T+136",0.000963270146406442
"T+137",0.000883160727655089
"T+138",0.000850487689655724
"T+139",0.00091220500529348
"T+140",0.00115327985252543
"T+141",0.0010791922793886
"T+142",0.000983789711929916
"T+143",0.00115801201959882
"T+144",0.00105244136221741
"T+145",0.000969460252133369
"T+146",0.000973901785095097
"T+147",0.000895654626452978
"T+148",0.000831502320627188
"T+149",0.000781791587660468
"T+150",0.000952931881566076
"T+151",0.00103045472025879
"T+152",0.000990287297609629
"T+153",0.000906174166050041
"T+154",0.000837959157807124
"T+155",0.000774919654784554
"T+156",0.000715055669367901
"T+157",0.000702680635156713
"T+158",0.000672834613360805
"T+159",0.000718457368998997
"T+160",0.000673694463090644
"T+161",0.000717476826655345
"T+162",0.000666028052808176
"T+163",0.000622900143994896
"T+164",0.000610387900498959
"T+165",0.000577398413451474
"T+166",0.000546362296540753
"T+167",0.000633917824564572
"T+168",0.00063762254518725
"T+169",0.000593710255023781
"T+170",0.000783200862437625
"T+171",0.000739064429369
"T+172",0.000684579414805874
"T+173",0.000735387374016758
"T+174",0.000710262271295573
"T+175",0.000732534897895605
"T+176",0.000748523429243694
"T+177",0.000718141980386451
"T+178",0.000697909279731573
"T+179",0.000684887946747023
