"","x"
"T+1",0.000995426775299327
"T+2",0.000966545426998924
"T+3",0.000975457702557768
"T+4",0.000951102634085361
"T+5",0.000999094472533393
"T+6",0.000975710407588275
"T+7",0.000947692768336478
"T+8",0.000930857212128995
"T+9",0.000942552531561193
"T+10",0.00104123620164585
"T+11",0.000993582616674953
"T+12",0.00118784625247667
"T+13",0.00106995156964552
"T+14",0.00109326684753172
"T+15",0.00105669908321431
"T+16",0.00101713000923029
"T+17",0.00101076618678037
"T+18",0.00105087085016092
"T+19",0.00102922148366751
"T+20",0.00101247871276275
"T+21",0.00115081119694386
"T+22",0.00104522071030083
"T+23",0.00100327735313255
"T+24",0.000988759850737471
"T+25",0.00126058063896638
"T+26",0.00110411201689567
"T+27",0.00548174083841298
"T+28",0.00276549014218336
"T+29",0.00187067406893607
"T+30",0.00140627794863914
"T+31",0.00120005879608466
"T+32",0.00107333453001942
"T+33",0.00133939845504311
"T+34",0.00114609592117646
"T+35",0.00133000613032327
"T+36",0.00115901767586625
"T+37",0.00105446372240583
"T+38",0.00102435263238232
"T+39",0.000975027497536915
"T+40",0.00114648114230597
"T+41",0.00104480289675806
"T+42",0.000995109084230347
"T+43",0.00107105812327
"T+44",0.00126361221341482
"T+45",0.00110585609568729
"T+46",0.00118337822459875
"T+47",0.00106354137542608
"T+48",0.00104990866359112
"T+49",0.00098927952766223
"T+50",0.000986640773136117
"T+51",0.000954691909161367
"T+52",0.00114597480114035
"T+53",0.00104266551928849
"T+54",0.000986949646337927
"T+55",0.000960646329999262
"T+56",0.00096145338102165
"T+57",0.00100187508008772
"T+58",0.000967540614066517
"T+59",0.00124801078811713
"T+60",0.00114453607105951
"T+61",0.00107577664943951
"T+62",0.00100408823841052
"T+63",0.00101958418258034
"T+64",0.000976908057512466
"T+65",0.000951144227840849
"T+66",0.000938362635422485
"T+67",0.000925711216308612
"T+68",0.00119173262639201
"T+69",0.00106841216904757
"T+70",0.00100299535816766
"T+71",0.00111903754932793
"T+72",0.00113363569666874
"T+73",0.00118750389763592
"T+74",0.00110197399056706
"T+75",0.00103263947527336
"T+76",0.000990032017909301
"T+77",0.00108005332640889
"T+78",0.00105428340608638
"T+79",0.00114622564454088
"T+80",0.0010427031107919
"T+81",0.0010190819706262
"T+82",0.000977085056842594
"T+83",0.00109189870103763
"T+84",0.00112910791985151
"T+85",0.00103592042085162
"T+86",0.00142700659671972
"T+87",0.00118926202144134
"T+88",0.00106714373708854
"T+89",0.00102215220651865
"T+90",0.000981444418754043
"T+91",0.000953628734240283
"T+92",0.000935815762168607
"T+93",0.000952846868093198
"T+94",0.000936094087428896
"T+95",0.000927495206964828
"T+96",0.000942447924829484
"T+97",0.000974191852293583
"T+98",0.000954966166021114
"T+99",0.00105258930737456
"T+100",0.000992906583168344
"T+101",0.00122675912900065
"T+102",0.00111278340260726
"T+103",0.00115676710424649
"T+104",0.0011196689047836
"T+105",0.00103369645184433
"T+106",0.000980218605857622
"T+107",0.00096312617010886
"T+108",0.00107769632790314
"T+109",0.00102039161753365
"T+110",0.0009809595474889
"T+111",0.0014406852131362
"T+112",0.00119607678488156
"T+113",0.00116210511715273
"T+114",0.00107158830484778
"T+115",0.00104586629624984
"T+116",0.00100466739491567
"T+117",0.000978055736904982
"T+118",0.00101418386661216
"T+119",0.000979072310523506
"T+120",0.00094892929230013
"T+121",0.00102249271613837
"T+122",0.00108896661175306
"T+123",0.00112251727407344
"T+124",0.00103510484761243
"T+125",0.0014748118369584
"T+126",0.00121390506992467
"T+127",0.00109381889454105
"T+128",0.0011500089129752
"T+129",0.00114186561749047
"T+130",0.00104441472267092
"T+131",0.00100673824703182
"T+132",0.000967471160087343
"T+133",0.000955704881329455
"T+134",0.000965695260890188
"T+135",0.00127398620880707
"T+136",0.00112656895696355
"T+137",0.00103365449697207
"T+138",0.00100764464810044
"T+139",0.00107036320671744
"T+140",0.00133005874782577
"T+141",0.00116169130904454
"T+142",0.00105137768834497
"T+143",0.00123232476351234
"T+144",0.00108904547709402
"T+145",0.00101720722326184
"T+146",0.00103583395085176
"T+147",0.000984939879726507
"T+148",0.000959616763438216
"T+149",0.000950402827842481
"T+150",0.00117228347876613
"T+151",0.00118594265488807
"T+152",0.00109721670130457
"T+153",0.0010164376087081
"T+154",0.000975571929262255
"T+155",0.000950021850076337
"T+156",0.000931769361032484
"T+157",0.000950729979882567
"T+158",0.000949469179649515
"T+159",0.00100652285414945
"T+160",0.000970242652848923
"T+161",0.00102103989860925
"T+162",0.000974044593397323
"T+163",0.000948844240584941
"T+164",0.000952941589508484
