"","x"
"T+1",0.00115760573572142
"T+2",0.00114515614599833
"T+3",0.00113863578287627
"T+4",0.00112561376224664
"T+5",0.00112590096576838
"T+6",0.0011159855889677
"T+7",0.00110327702452893
"T+8",0.00109085170471841
"T+9",0.00108378479816785
"T+10",0.00109293607925841
"T+11",0.00108295440532181
"T+12",0.0011035634205449
"T+13",0.00109210494742484
"T+14",0.00109867556756713
"T+15",0.00109558180774029
"T+16",0.00108861807420232
"T+17",0.00108589850359118
"T+18",0.00109056709681399
"T+19",0.00108727966160381
"T+20",0.00108247631043623
"T+21",0.00109770327796866
"T+22",0.00108546506024594
"T+23",0.00107853322118913
"T+24",0.00107325382457457
"T+25",0.00109875138154347
"T+26",0.00108648517543138
"T+27",0.00114100181712955
"T+28",0.00116024073433097
"T+29",0.00117458965634874
"T+30",0.00116135776692604
"T+31",0.00115220065412478
"T+32",0.00113788584390171
"T+33",0.00116626511493672
"T+34",0.00115127698060116
"T+35",0.00117735699542981
"T+36",0.001166474163151
"T+37",0.00115231153252091
"T+38",0.00114531217457421
"T+39",0.00113099713061632
"T+40",0.00114873992023821
"T+41",0.00113492380916486
"T+42",0.00112360290045461
"T+43",0.00113204412090836
"T+44",0.00115477878198516
"T+45",0.00114007424789194
"T+46",0.00115420809899224
"T+47",0.00113959388752036
"T+48",0.00113820398573131
"T+49",0.00112418014319476
"T+50",0.00111880098257197
"T+51",0.0011061541494808
"T+52",0.00112406361743461
"T+53",0.0011107213935108
"T+54",0.00109848964974968
"T+55",0.00108787045249457
"T+56",0.0010819575069253
"T+57",0.0010830113705369
"T+58",0.00107298561881215
"T+59",0.00109819977165425
"T+60",0.00109640488587357
"T+61",0.00109161165504438
"T+62",0.00107973670406575
"T+63",0.00107967583773614
"T+64",0.00106957676400211
"T+65",0.00105926674340573
"T+66",0.00104988367747172
"T+67",0.0010397667918007
"T+68",0.00106262256288299
"T+69",0.00105204803304604
"T+70",0.00104240205303133
"T+71",0.00105638264043297
"T+72",0.00106478294838926
"T+73",0.00107809262262181
"T+74",0.00107376491671279
"T+75",0.00106531372676531
"T+76",0.00105663932025002
"T+77",0.00106758678756177
"T+78",0.00106623503956832
"T+79",0.00108007812872936
"T+80",0.00106857672932425
"T+81",0.00106607781996271
"T+82",0.00105636295108119
"T+83",0.00106904051045233
"T+84",0.00107882164885707
"T+85",0.00106789999263131
"T+86",0.00109974562856578
"T+87",0.00108742845322526
"T+88",0.00107582866841629
"T+89",0.00106976807193739
"T+90",0.00106093199312249
"T+91",0.00105095171691055
"T+92",0.00104127381612174
"T+93",0.0010375314117571
"T+94",0.00102858975455874
"T+95",0.00101999390578744
"T+96",0.0010158996878982
"T+97",0.00101611258480487
"T+98",0.00100958969999761
"T+99",0.00102045178902115
"T+100",0.00101202167656921
"T+101",0.00103498117579738
"T+102",0.00103175860498961
"T+103",0.00104424449452127
"T+104",0.00104703353556048
"T+105",0.00103813295712653
"T+106",0.00102837278401808
"T+107",0.00102206447170388
"T+108",0.00103447431436817
"T+109",0.00102832843799739
"T+110",0.00102124715667799
"T+111",0.0010524893704916
"T+112",0.00104224751132664
"T+113",0.00105066456985044
"T+114",0.0010455074616392
"T+115",0.00104449901775138
"T+116",0.00103877876486258
"T+117",0.0010320437167165
"T+118",0.00103476604426719
"T+119",0.00102768512288471
"T+120",0.00101842860683576
"T+121",0.00102504857472613
"T+122",0.00103461328213173
"T+123",0.0010443337709684
"T+124",0.00103529239000276
"T+125",0.00106800324425238
"T+126",0.00105724047801075
"T+127",0.00105072217832513
"T+128",0.00106296019935548
"T+129",0.0010699956819287
"T+130",0.00105972343907978
"T+131",0.0010535354231497
"T+132",0.00104367497817901
"T+133",0.00103719726039929
"T+134",0.0010337633677608
"T+135",0.00105989491437592
"T+136",0.00105279515705809
"T+137",0.00104274459925904
"T+138",0.00103939325355317
"T+139",0.00104840976164591
"T+140",0.00107546506893663
"T+141",0.00106877637490963
"T+142",0.00105785631978145
"T+143",0.00107967419437058
"T+144",0.00106823528755993
"T+145",0.00105893716919158
"T+146",0.00106193428308678
"T+147",0.00105195570217854
"T+148",0.00104324478233556
"T+149",0.00103607296372102
"T+150",0.00105635406587605
"T+151",0.00106787174981687
"T+152",0.00106450477440753
"T+153",0.00105375246182993
"T+154",0.00104446133655075
"T+155",0.00103510003894978
"T+156",0.00102548099372769
"T+157",0.00102303916214231
"T+158",0.00101750041393699
"T+159",0.00102285543433239
"T+160",0.00101521450168218
"T+161",0.00102013593753074
"T+162",0.00101145073824272
"T+163",0.00100360072437787
"T+164",0.00100026731093483
"T+165",0.000993554996890134
"T+166",0.000986866141734038
"T+167",0.000996677145691945
"T+168",0.000996020325338918
"T+169",0.00098811950119634
"T+170",0.00100950053129058
"T+171",0.00100359607263058
"T+172",0.000995516694606342
"T+173",0.00100210122698845
"T+174",0.000998544115861007
"T+175",0.00100129618790488
"T+176",0.00100336325743265
"T+177",0.000998968896575456
"T+178",0.000995761311389054
"T+179",0.000993513110119422
"T+180",0.000987415095739468
"T+181",0.000981003770282989
"T+182",0.000976713079774543
"T+183",0.000970464591781981
"T+184",0.000998424753768541
"T+185",0.000996056018400216
"T+186",0.000997158519548856
"T+187",0.00099203914851708
"T+188",0.000986903168440631
"T+189",0.000981291136233241
"T+190",0.000983481459226456
"T+191",0.000976672877180313
"T+192",0.00098105996557916
"T+193",0.000994626141000302
"T+194",0.000989229590506382
"T+195",0.000981483711038797
"T+196",0.000980515353649688
"T+197",0.000973353168306816
"T+198",0.000968997517604103
"T+199",0.000988714025429665
"T+200",0.000987206865790862
"T+201",0.000992711405768959
"T+202",0.000988983557701647
"T+203",0.000994139399033725
"T+204",0.00101820399863948
"T+205",0.00103729380175686
"T+206",0.00105837438481539
"T+207",0.00104949850949196
"T+208",0.00110097931753499
"T+209",0.00108952558550951
"T+210",0.00107763535677922
"T+211",0.00107203066039084
"T+212",0.00106162564058565
"T+213",0.00109386779062535
"T+214",0.00117603657818136
"T+215",0.00116493604442765
"T+216",0.00114976478960809
"T+217",0.00113699951528206
"T+218",0.00115671948858221
"T+219",0.00117136074514246
"T+220",0.00117486804716769
"T+221",0.00116389785729456
"T+222",0.00115879955760829
"T+223",0.00115727226673549
"T+224",0.00114584875365846
"T+225",0.00114161466890633
"T+226",0.00114400103450377
"T+227",0.00114098948666522
"T+228",0.00112922296898806
"T+229",0.00112034031653347
"T+230",0.00110737222143189
"T+231",0.00110479901944983
"T+232",0.00110051775232349
"T+233",0.00110150434178879
"T+234",0.00109408019105666
"T+235",0.00108263863699386
"T+236",0.001084644870738
"T+237",0.00107317101952118
"T+238",0.00106265780106298
