"","scale","shape"
"T+1",1.54470106339964,2255.97065497028
"T+2",1.39907533967512,2533.27663632068
"T+3",1.97496350959054,1626.63208345772
"T+4",1.73928112912656,1879.85490486528
"T+5",1.57902673161393,2122.9160171094
"T+6",1.55273274649378,2271.23441749898
"T+7",1.65902797261783,2267.69054739267
"T+8",1.84648813315807,2164.60160557431
"T+9",1.64506077718214,2458.59849725588
"T+10",2.09241348516698,1956.98928457483
"T+11",1.66911967126982,2369.30910116371
"T+12",1.74934813817964,2394.14144872385
"T+13",1.52061217170899,2744.47350364714
"T+14",1.65033776117619,2684.39234947651
"T+15",2.70222474407695,1120.64203630634
"T+16",3.78712562747873,769.993485467885
"T+17",2.24376452916323,1154.14862577322
"T+18",2.26640526358926,1218.49844175251
"T+19",2.29142355501272,1282.19069306018
"T+20",2.11688503807604,1446.46842917918
"T+21",1.96951071783332,1619.42242351498
"T+22",2.12503690069389,1598.83281880656
"T+23",2.39987319645981,1496.4630077408
"T+24",2.25226183866289,1657.17658567516
"T+25",2.10903088152604,1834.73226849304
"T+26",1.49919622157745,2336.14491233884
"T+27",1.63994262134613,2282.7444163563
"T+28",1.75942962297526,2262.78191197176
"T+29",1.81013080779143,2321.46104420553
"T+30",1.70903038113591,2537.20730475272
"T+31",1.39053670098707,2989.64686275523
"T+32",1.29357108350903,3274.64573255729
"T+33",1.56445667847703,2831.07873481906
"T+34",1.87154574927296,2465.98570414857
"T+35",1.84226277416661,2607.10903777259
"T+36",2.21269076464643,2241.37951558888
"T+37",2.3123184448544,2240.69052698742
"T+38",2.11203346742943,2496.25765776287
"T+39",2.05436135749947,2650.63831622718
"T+40",1.89116042943504,2925.54061445988
"T+41",2.27289802666926,2498.25341514622
"T+42",2.53308649417775,2324.85428032981
"T+43",1.98287593830893,2843.25846128165
"T+44",2.08698436982554,2816.16150798015
"T+45",1.56512181947571,3456.13285102231
"T+46",1.65825406056705,3422.92117887659
"T+47",1.89018673780816,3133.85622316419
"T+48",2.20895613719531,2768.61698587342
"T+49",1.9319370005202,3151.20996266403
"T+50",1.45559284196456,3824.10301701546
"T+51",1.73905418281521,3316.70894477029
"T+52",1.83747773714448,3278.89702751099
"T+53",1.61499512146698,3696.11629683831
"T+54",1.75645724740633,3555.5371815974
"T+55",1.59076024930191,3928.20153953951
"T+56",1.70874869395422,3819.68231367467
"T+57",2.00454378238817,3356.62610416511
"T+58",2.2353864326912,3113.03769639441
"T+59",1.57314348833046,3922.22811574382
"T+60",1.668275315157,3862.31873392083
"T+61",1.92302432615916,3472.83125208892
"T+62",3.30824536335808,1289.73864100389
"T+63",2.04183939712924,1836.86367973995
"T+64",1.9704869560818,1986.8785214165
"T+65",1.88382078110029,2160.40338573079
"T+66",1.93044124877566,2220.32156283127
"T+67",1.79927486092816,2448.7299223165
"T+68",1.88729651476683,2459.65123935151
"T+69",2.01145070753435,2426.91113253486
"T+70",2.19812304441106,2327.15798733691
"T+71",2.0397280244085,2563.03467046955
"T+72",1.98977911015519,2716.26685025921
"T+73",1.92660344900856,2891.60193173727
"T+74",1.92574188513015,2999.21415373095
"T+75",2.22186844668763,2692.68182956309
"T+76",3.50927358222614,1372.00154070866
"T+77",2.04877657013465,2009.44412531483
"T+78",1.61178005806005,2443.80588221573
"T+79",1.46332696710478,2733.24704601108
"T+80",1.49413277245001,2825.43644702475
"T+81",1.46877096704912,2996.71237262934
"T+82",1.43255113566862,3189.60690538336
"T+83",1.40505429746877,3376.67967442621
"T+84",1.28291395559445,3717.80348306628
"T+85",1.7227378819647,2648.44544788879
"T+86",1.42034850892067,3099.66675008935
"T+87",1.4659624027953,3166.67379341543
"T+88",1.78289182981658,2695.67976829497
"T+89",1.74321302106014,2859.96317385225
"T+90",2.04780119289175,2532.11487195481
"T+91",1.94062728502689,2743.42391458527
"T+92",2.24306906977457,2464.45934332363
"T+93",2.15650163342328,2636.35664082428
"T+94",2.01363399604524,2878.82272600677
"T+95",1.47989502883869,3548.65196966261
"T+96",1.3870073265901,3846.35805892494
"T+97",1.70862394805779,3200.91653215095
"T+98",2.02212598081889,2799.17593979006
"T+99",1.55864583872041,3390.83029464776
"T+100",2.40877011904943,1682.69718842703
"T+101",2.1939453778423,1896.54301665141
"T+102",1.579731473837,2408.41237918248
"T+103",1.46136824367336,2666.85287766216
"T+104",1.58566069062959,2618.10091679788
"T+105",1.65832391215282,2647.93765621283
"T+106",1.66801501438953,2758.60636660524
"T+107",1.80269267976527,2693.70961056063
"T+108",1.80267857921433,2807.98348105958
"T+109",1.70599150993642,3043.10189043855
"T+110",1.6808301427759,3200.80049227572
"T+111",1.8005577179877,3133.84080578974
"T+112",2.1411021367539,2716.13852891548
"T+113",1.74803983922716,3214.8233925687
"T+114",2.02395213153647,2885.27526347601
"T+115",1.68280096624756,3370.78008855359
"T+116",1.88977424599547,3137.4440804786
"T+117",1.90776557779733,3220.87832261264
"T+118",2.12773591908211,3000.8632671842
"T+119",2.49708098096275,2621.18266945649
"T+120",2.19021421159866,2981.68898468557
"T+121",1.95770685350138,3338.32611795637
"T+122",2.14026023922152,3168.04597489807
"T+123",1.82881747835848,3637.72143961718
"T+124",2.02546617658149,3409.23965463495
"T+125",2.12821097138303,3355.72554579029
"T+126",1.60657268419779,4086.07232764097
"T+127",1.74871928639132,3914.36023768778
"T+128",1.94451620842872,3653.59022270454
"T+129",2.04241754629745,3596.58247877897
"T+130",1.96688523459302,3801.87549756975
"T+131",2.07296805882816,3722.76262952788
"T+132",2.05391646527241,3841.34928260975
"T+133",1.77107740073742,4355.54694908163
"T+134",2.24965803369359,3390.98661626941
"T+135",1.93722867154327,3867.62160875348
"T+136",1.96138860561261,3926.12277357167
"T+137",1.80278744418337,4278.93093906456
"T+138",1.94279840629366,4103.94307820451
"T+139",3.28507349357788,1617.76678907162
"T+140",1.68391517200883,2446.15057757717
"T+141",1.63148165597758,2626.03612735925
