"","location","scale","shape"
"T+1",0.000583904448346654,4.86743487135702e-07,7.99999998851768
"T+2",0.000482117997050264,4.86743487135702e-07,7.99999998851768
"T+3",0.000901449394684368,4.86743487135702e-07,7.99999998851768
"T+4",0.000793347734806891,4.86743487135702e-07,7.99999998851768
"T+5",0.000661381270289129,4.86743487135702e-07,7.99999998851768
"T+6",0.000598487362871019,4.86743487135702e-07,7.99999998851768
"T+7",0.000629304452520264,4.86743487135702e-07,7.99999998851768
"T+8",0.000720982656027058,4.86743487135702e-07,7.99999998851768
"T+9",0.00060625221224545,4.86743487135702e-07,7.99999998851768
"T+10",0.000861900274978086,4.86743487135702e-07,7.99999998851768
"T+11",0.000676055361790605,4.86743487135702e-07,7.99999998851768
"T+12",0.000657224101908074,4.86743487135702e-07,7.99999998851768
"T+13",0.000521059500005055,4.86743487135702e-07,7.99999998851768
"T+14",0.000548294573897721,4.86743487135702e-07,7.99999998851768
"T+15",0.00107443394742416,4.86743487135702e-07,7.99999998851768
"T+16",0.00151965501855002,4.86743487135702e-07,7.99999998851768
"T+17",0.00180137999160036,4.86743487135702e-07,7.99999998851768
"T+18",0.00167811690161484,4.86743487135702e-07,7.99999998851768
"T+19",0.00159345633909647,4.86743487135702e-07,7.99999998851768
"T+20",0.00137734802097812,4.86743487135702e-07,7.99999998851768
"T+21",0.00115815199069816,4.86743487135702e-07,7.99999998851768
"T+22",0.0011650575122661,4.86743487135702e-07,7.99999998851768
"T+23",0.00131393562740124,4.86743487135702e-07,7.99999998851768
"T+24",0.00122512896910355,4.86743487135702e-07,7.99999998851768
"T+25",0.00107668779998502,4.86743487135702e-07,7.99999998851768
"T+26",0.000743755234819736,4.86743487135702e-07,7.99999998851768
"T+27",0.000691901635836347,4.86743487135702e-07,7.99999998851768
"T+28",0.000694213672244493,4.86743487135702e-07,7.99999998851768
"T+29",0.0006843847499282,4.86743487135702e-07,7.99999998851768
"T+30",0.000607410402581969,4.86743487135702e-07,7.99999998851768
"T+31",0.000451017480641543,4.86743487135702e-07,7.99999998851768
"T+32",0.000367949002988332,4.86743487135702e-07,7.99999998851768
"T+33",0.000501312382028021,4.86743487135702e-07,7.99999998851768
"T+34",0.000649254184139646,4.86743487135702e-07,7.99999998851768
"T+35",0.000624143972265633,4.86743487135702e-07,7.99999998851768
"T+36",0.000802975824371699,4.86743487135702e-07,7.99999998851768
"T+37",0.000869419856360503,4.86743487135702e-07,7.99999998851768
"T+38",0.000787552918626244,4.86743487135702e-07,7.99999998851768
"T+39",0.000722091566246113,4.86743487135702e-07,7.99999998851768
"T+40",0.000622247802423221,4.86743487135702e-07,7.99999998851768
"T+41",0.00076172535101244,4.86743487135702e-07,7.99999998851768
"T+42",0.000887973330749915,4.86743487135702e-07,7.99999998851768
"T+43",0.000722377271708889,4.86743487135702e-07,7.99999998851768
"T+44",0.000692156454392374,4.86743487135702e-07,7.99999998851768
"T+45",0.000500926604765965,4.86743487135702e-07,7.99999998851768
"T+46",0.000472355176281652,4.86743487135702e-07,7.99999998851768
"T+47",0.000540219632068373,4.86743487135702e-07,7.99999998851768
