"","location","scale"
"T+1",0.00114995788804131,3.49022697371677e-05
"T+2",0.00113841462696047,3.49022699701708e-05
"T+3",0.00115820704324491,3.49022696937854e-05
"T+4",0.00115282022197292,3.4902269694771e-05
"T+5",0.00114273665648356,3.49022698646212e-05
"T+6",0.00114931599664704,3.49022697131773e-05
"T+7",0.00114640895394125,3.49022697430206e-05
"T+8",0.00114698530180567,3.49022697182103e-05
"T+9",0.00113704931697004,3.49022699569579e-05
"T+10",0.0011423894217057,3.4902269823644e-05
"T+11",0.00114064686403514,3.49022698493107e-05
"T+12",0.00116390073691011,3.49022696470424e-05
"T+13",0.00114413934590945,3.49022699646272e-05
"T+14",0.00113651842890745,3.49022700531819e-05
"T+15",0.00412404865928095,3.49076318088465e-05
"T+16",0.002619184749088,3.49049511212992e-05
"T+17",0.00188527678507221,3.49036103489009e-05
"T+18",0.0015135006754059,3.49029400734251e-05
"T+19",0.0013530650340137,3.49026047778694e-05
"T+20",0.00124649583201922,3.49024373141133e-05
"T+21",0.00122296376746888,3.49023534377639e-05
"T+22",0.00118712150717769,3.49023115335761e-05
"T+23",0.0011740270403515,3.49022905181118e-05
"T+24",0.00116379134676484,3.49022800562683e-05
"T+25",0.00115781583587702,3.49022748383918e-05
"T+26",0.00114452661564724,3.49022724561443e-05
"T+27",0.00114030159482265,3.49022712001602e-05
"T+28",0.00115491879776528,3.49022703188327e-05
"T+29",0.00115085114200477,3.49022700133433e-05
"T+30",0.00113962529458894,3.49022700849753e-05
"T+31",0.00113201610673022,3.49022701831237e-05
"T+32",0.00113026551071705,3.4902270168135e-05
"T+33",0.00113195883059387,3.49022700877592e-05
"T+34",0.00114454302725554,3.49022698168092e-05
"T+35",0.00115745405899442,3.49022696252087e-05
"T+36",0.00116430464852642,3.49022695277462e-05
"T+37",0.00116656811083101,3.49022694844458e-05
"T+38",0.00115869115956768,3.49022695607123e-05
"T+39",0.00114873235776266,3.49022697193909e-05
"T+40",0.00113976722195772,3.49022699028281e-05
"T+41",0.00114557152478965,3.49022697653584e-05
"T+42",0.00115298500729797,3.49022696367748e-05
"T+43",0.00114399419373264,3.49022698042442e-05
"T+44",0.00114812890807845,3.49022697090779e-05
"T+45",0.00113538248041691,3.49022700243764e-05
"T+46",0.00113432343198458,3.49022700211006e-05
"T+47",0.00113249195945823,3.4902270055707e-05
"T+48",0.00117143155255116,3.49022698993905e-05
"T+49",0.00115232621946736,3.49022699591962e-05
"T+50",0.00113765054330101,3.49022701437747e-05
"T+51",0.00114112849680747,3.49022699470123e-05
"T+52",0.00113485401322747,3.49022700491127e-05
"T+53",0.001129101310797,3.4902270182529e-05
"T+54",0.00112871713860896,3.49022701705662e-05
"T+55",0.00112458703281189,3.49022702923648e-05
"T+56",0.00112921524388992,3.49022701473152e-05
"T+57",0.00114773923438245,3.49022698021463e-05
"T+58",0.00114379710297891,3.49022698274767e-05
"T+59",0.00113376530459437,3.49022700653664e-05
"T+60",0.00113353109449862,3.49022700411562e-05
"T+61",0.00113749579298041,3.49022699288855e-05
"T+62",0.00118977187087424,3.49022703042568e-05
"T+63",0.00118490115088559,3.49022698616615e-05
"T+64",0.00116731980526691,3.49022697582939e-05
"T+65",0.0011481212519097,3.49022699496412e-05
