"","location","scale","skewness","shape"
"T+1",-0.000438238374281258,0.00154644371737431,1.41453957933973,4.64965712754115
"T+2",0.000298537064521719,0.00156623127472232,1.39426744779452,4.72902365678965
"T+3",0.00100744012296875,0.00161911703354705,1.36611451915907,4.84456514609941
"T+4",0.00114540151928188,0.00148090212034365,1.3561797174524,4.70064418766309
"T+5",0.00078136681205718,0.00145068924311063,1.39004157147814,4.63483532304781
"T+6",0.00116134135715076,0.00135255593433936,1.37071813410232,4.58681321471177
"T+7",0.00104845122384403,0.00128299563334976,1.38153029600975,4.5288946726165
"T+8",0.00113705502396752,0.00119999123712872,1.37801563116565,4.48234992709527
"T+9",-4.31203106533431e-05,0.00137857875298094,1.41781004875374,4.54502857566269
"T+10",0.000768940138270665,0.00142055805264941,1.3984250779725,4.62714431337712
"T+11",0.000988295211179159,0.0013119850390528,1.38852056891445,4.55567658663491
"T+12",0.00161065687105794,0.00128399533383411,1.3607228396549,4.57583702034817
"T+13",-0.000223144762657377,0.00192612726313604,1.38602726147634,4.90891006407788
"T+14",0.000270195124489434,0.0018293085436926,1.35783327916463,4.89112994333772
"T+15",0.000360758057349128,0.0050704484463638,1.45858331496748,4.00001470696385
"T+16",0.000620147698089453,0.00477491263909314,1.45038333312192,4.00003538496759
"T+17",0.000844392022658376,0.004282376046956,1.44040657176564,4.00008008515323
"T+18",0.00102358407553401,0.00369498656371496,1.42928371216802,4.00017122357426
"T+19",0.00125008169327619,0.003295309101147,1.41429310919601,4.00034719911449
"T+20",0.00134544247983317,0.0028277239215071,1.40355670557019,4.00067009276608
"T+21",0.00157945080256923,0.00252907198976112,1.3825332136033,4.00123528793929
"T+22",0.00158529611805136,0.00222902283751569,1.3786369443902,4.00218102667309
"T+23",0.00160656530421179,0.00198494067547897,1.37402314931621,4.00369893886092
"T+24",0.00150741809821223,0.00181566008093336,1.38260335290548,4.00604094084831
"T+25",0.00140862719380849,0.00167451812843669,1.38972551320278,4.00951982523462
"T+26",0.000675838112159869,0.00177358801081057,1.42131529204918,4.01455263184001
"T+27",0.000943595611892469,0.00160677329762569,1.41074539491125,4.02146033423546
"T+28",0.00136435285198682,0.00149364852460556,1.39347123729413,4.03075593881172
"T+29",0.00105153611769357,0.00144560126948198,1.40865585832853,4.04269182741166
"T+30",0.000689874538352688,0.00141830364640214,1.4206765690901,4.0576041610787
"T+31",0.000819372971250554,0.00131181606370086,1.41579673139944,4.07499688947116
"T+32",0.000856516196813495,0.00123019352842269,1.41387642288854,4.09487871724268
"T+33",0.00090930799357914,0.00115852824523746,1.4115810642764,4.11668621491555
"T+34",0.00131756380533562,0.0010909652365526,1.39898308784593,4.1407570298736
"T+35",0.00150443089275819,0.00103054913676399,1.39170503463793,4.16430893068341
"T+36",0.00138328698797745,0.000996976878068508,1.39654176931836,4.18788623899088
"T+37",0.0014365935192587,0.000954845109538372,1.39444872329105,4.20961788268842
"T+38",-0.000371051330657686,0.00118291057432172,1.42542489020631,4.26290741012909
"T+39",0.00074752697847789,0.0013293498843631,1.40855318392469,4.33925686184383
"T+40",0.000896186446490164,0.00123599607732492,1.40290674090344,4.33967099233616
"T+41",0.00119636947356934,0.00115529787382157,1.39151270232039,4.34366838966156
"T+42",0.0013315182796799,0.00108791032196453,1.38584247154968,4.3435606848821
"T+43",-0.000437264020453003,0.00140958880715142,1.41963497474344,4.44225414969637
"T+44",0.000527504981141996,0.0015956385349783,1.40153269857729,4.5823676829534
"T+45",0.000742780466832884,0.00145872676466191,1.39177567915207,4.52435678531221
"T+46",0.000912799673041051,0.00134471179086165,1.38384412980688,4.48054009912255
"T+47",0.000863109105490746,0.00126936338615052,1.38912471987701,4.45006895751835
"T+48",0.00178205622983501,0.00138940807959823,1.35840503316532,4.56216946638823
"T+49",0.000169028757741721,0.00195348013418445,1.39533363205865,4.82658556531137
