"","location","scale","shape"
"T+1",0.000410079749569071,1.36732493985488e-06,6.30611201040457
"T+2",0.000366073404926572,1.16256830626173e-06,6.34392555879778
"T+3",0.00117161848132195,1.29779076505209e-06,6.38974653323259
"T+4",0.000619319850750108,1.23944671271984e-06,6.43153473924322
"T+5",0.000420335368972387,1.08522022804455e-06,6.46965689398848
"T+6",0.000856321959833175,9.9290487580727e-07,6.50888522934212
"T+7",0.000491262784417624,9.09259647907359e-07,6.54759751962436
"T+8",0.000717438718398356,8.07393687973451e-07,6.58433306115209
"T+9",0.000108269112067832,8.21058872176806e-07,6.62601024827734
"T+10",0.000931934347638579,8.58251980519767e-07,6.6685509143879
"T+11",0.000296154442743823,8.66837381382979e-07,6.7098488306931
"T+12",0.00154001749100297,1.32133547410739e-06,6.75735559445469
"T+13",0.000420157046870146,2.01649438804772e-06,6.80419422191034
"T+14",0.000425622139393033,1.64042545936073e-06,6.83886207794218
"T+15",0.000577215748777454,5.56232818153538e-05,4.16858019115089
"T+16",0.00067361534391828,3.40687378342323e-05,4.18006429567363
"T+17",0.000749134823439067,2.14270910094891e-05,4.1920731604461
"T+18",0.000784226092767734,1.37100078112037e-05,4.20460726737488
"T+19",0.000870238218496142,9.50381504080107e-06,4.21771972608988
"T+20",0.000826657492693923,6.576690014832e-06,4.23136240217198
"T+21",0.000962417160517392,4.98789183573048e-06,4.24562420814552
"T+22",0.000872111279132944,3.69832367573535e-06,4.26041342526416
"T+23",0.000858652800032705,2.81476863269776e-06,4.27577783613123
"T+24",0.000794306009854102,2.20815578193716e-06,4.29173122207061
"T+25",0.000744863058390655,1.77502701508975e-06,4.30827499772248
"T+26",0.00048134714481471,1.53276191505778e-06,4.32549543070772
"T+27",0.00049536968633752,1.27888983130976e-06,4.34323601105062
"T+28",0.00101941381600298,1.21217496193799e-06,4.36178528859752
"T+29",0.000569156140019986,1.11616113376138e-06,4.38089942961833
"T+30",0.000313003058900875,9.99642163833382e-07,4.40055703381891
"T+31",0.000288156622456093,8.75582521848812e-07,4.42074275389107
"T+32",0.000375209483940258,7.72771961408812e-07,4.44151803221133
"T+33",0.000442000042613854,6.90843629741948e-07,4.46289826380487
"T+34",0.00108206063518788,6.82922760149935e-07,4.48517790858035
"T+35",0.000898868744239,6.20460797561289e-07,4.50778425685032
"T+36",0.00115517331469893,5.78413523607445e-07,4.5310564466003
"T+37",0.000768439418553707,5.43892952776355e-07,4.55493812526741
"T+38",0.000612220472566286,5.06700172940086e-07,4.57934398551153
"T+39",0.000332224095349815,4.82457539292e-07,4.60441336329664
"T+40",0.000425715184746159,4.5264351731798e-07,4.62996033382339
"T+41",0.00116715233694741,4.63286431556608e-07,4.65654108386804
"T+42",0.000273787107549387,4.93941455412045e-07,4.6839641244218
"T+43",0.000711707103745243,4.72088884210312e-07,4.711377434055
"T+44",0.000697285855878153,4.43970507480716e-07,4.73919770793234
"T+45",-0.000522784725976397,5.66466904696085e-07,4.76929362314216
"T+46",0.00122461006920097,9.64991001384948e-07,4.80017029985849
"T+47",0.0001593087206802,1.2800968185371e-06,4.83192996236824
"T+48",0.00134477517732249,2.34459537191647e-06,4.86323146900188
"T+49",0.000768052342185386,2.29189845724651e-06,4.89549088261744
"T+50",0.00047851507028974,1.98216338619406e-06,4.92734352551426
"T+51",0.000593276581068864,1.61145476303087e-06,4.95889025810865
"T+52",0.00040555888197123,1.38090594714726e-06,4.99126829804488
"T+53",0.000297691283224243,1.18584551932895e-06,5.02394419333006
"T+54",0.000372282405290868,1.01477959892423e-06,5.0568062291797
"T+55",0.000178063331983653,9.11078593116213e-07,5.09052665698218
"T+56",0.000545645363965912,8.17239990135405e-07,5.12450009720748
"T+57",0.0011390772309237,8.01937222110647e-07,5.1599816612082
"T+58",0.000180276108453729,9.36876194156261e-07,5.19776912518278
"T+59",0.000338786317431441,8.21280328067964e-07,5.23259376439994
"T+60",0.000464210225417654,7.29750671814922e-07,5.26774994065881
"T+61",0.000593317273101249,6.5686245629791e-07,5.30323614385189
"T+62",0.00231109545089933,2.25040695215211e-06,5.32062595235633
"T+63",0.0014558382311952,2.35175889916915e-06,5.36053750956964
"T+64",0.000941182823104024,2.13866241314229e-06,5.39917254233686
"T+65",0.000570166726764761,1.90127057377391e-06,5.43761931632139
"T+66",0.000607976982903752,1.54937046757638e-06,5.47434203669663
"T+67",0.000616713868154258,1.29001256742363e-06,5.51129186371286
"T+68",0.00108717148256142,1.21100682919746e-06,5.55067965740587
"T+69",0.000723828669218018,1.07905885731941e-06,5.58905423928528
"T+70",0.00108623551472937,9.84164195202556e-07,5.62790538708253
"T+71",0.000295102956580958,1.07258934737541e-06,5.67032484821753
"T+72",0.000622509858033997,9.47163098951432e-07,5.70870444625095
"T+73",0.000485887914274283,8.38365904710567e-07,5.7469188074519
"T+74",0.000360841393104626,7.52155611709232e-07,5.78526141184936
"T+75",0.0016517248748257,1.1375584505542e-06,5.8308914936051
"T+76",0.00160841572429314,2.46769265417738e-05,4.41665960288473
"T+77",0.0013896820201542,1.56523889050797e-05,4.43735143899902
"T+78",0.00116967037052674,1.07467863306464e-05,4.45875341629525
"T+79",0.000982264512928688,7.65446730295515e-06,4.48076935328028
"T+80",0.000823761008780928,5.61883637958015e-06,4.50338688244851
"T+81",0.000700551579474266,4.2124027974935e-06,4.52657701174897
"T+82",0.000559984981650039,3.29536081241274e-06,4.55042983245346
"T+83",0.000500015531959377,2.57554206322837e-06,4.5747706258871
"T+84",0.00046110846002568,2.05452102162511e-06,4.59967943861826
"T+85",0.000736270710771787,1.71929766171945e-06,4.62530806397839
"T+86",0.000415640015804814,1.52544180789613e-06,4.65175010077858
"T+87",0.000384739221966086,1.28065353620275e-06,4.67838939881126
"T+88",0.000717982245167569,1.1211431437951e-06,4.70575362292132
"T+89",0.000427155999988444,1.00490376058745e-06,4.73375652169585
"T+90",0.00101591976759952,9.73688809640355e-07,4.7627875704742
"T+91",0.000660418552584599,8.80617989356294e-07,4.79188102812096
"T+92",0.00127479695403618,8.80681415675074e-07,4.8222178104437
"T+93",0.000480986717522952,9.23370017620887e-07,4.85347602985886
"T+94",0.000441216685095035,8.13608538657808e-07,4.88389283227587
"T+95",6.85590116707058e-05,7.72114837603843e-07,4.91542039462631
"T+96",0.000370844554159861,6.94837238653971e-07,4.94684282103
"T+97",0.000633096786402032,6.33148333570407e-07,4.9787502893169
"T+98",0.000953374029981804,5.89952645308441e-07,5.01126928178031
"T+99",-0.000345433492006524,8.3953958831674e-07,5.04731329827047
"T+100",0.00135281251674786,2.53256467879603e-06,5.07121378688797
"T+101",0.00102739472086678,2.08637772167615e-06,5.10522763788763
"T+102",0.000585130165762915,1.91749215916219e-06,5.14083073780408
"T+103",0.000608645201433098,1.56155598758383e-06,5.17506911359083
"T+104",0.00045810476279148,1.32719127673073e-06,5.21002388842062
"T+105",0.000575488725019723,1.12356563083729e-06,5.24498364077434
"T+106",0.000375957368851096,9.92594362763261e-07,5.28072805941215
"T+107",0.000539025848031676,8.66679783101845e-07,5.31634859878792
"T+108",0.000326573758336959,7.84477775282471e-07,5.35269377764837
"T+109",0.000486154882390421,7.00965031972606e-07,5.38886576450231
"T+110",0.000457785415396007,6.34372409077439e-07,5.42532140832091
"T+111",0.000277206121130831,5.8797187593752e-07,5.46231957897304
"T+112",0.000763911394546301,5.59236970096032e-07,5.4999566774406
"T+113",-0.000354352065643297,7.07277843966292e-07,5.542339114147
"T+114",0.00129982213282258,6.78379150978342e-06,5.36403857919007
"T+115",0.000999386176081834,5.34315862803856e-06,5.40212761012214
"T+116",0.000825353647344061,4.05014007297967e-06,5.43934103325221
"T+117",0.000678713627365894,3.14721868509225e-06,5.47674190323516
"T+118",0.000645799557757539,2.44418383351689e-06,5.51378075214319
"T+119",0.000849266244974366,2.00084623457803e-06,5.55165349890384
"T+120",0.000801180204233289,1.62325603326025e-06,5.5890082992246
"T+121",0.000544156008530647,1.40185175698821e-06,5.6275576820159
"T+122",0.000543226738168861,1.18044752674492e-06,5.66524350924123
"T+123",0.000332866936783896,1.04387868484571e-06,5.70390346554223
"T+124",0.0005303272068071,9.08572344343894e-07,5.74191058901522
"T+125",0.000527759352826565,7.99668990718378e-07,5.77992172445486
"T+126",7.83565476435884e-05,7.748405954826e-07,5.82034466122445
"T+127",0.000436546951249513,7.01707115462221e-07,5.85887126532524
"T+128",0.000443061663054393,6.34304360065477e-07,5.89706624171615
